静息,正性,中性,负性
10:53:37,10:55:05,10:56:25,11:01:02
,,,
CTP266,88:4A:EA:8B:D1:E6,,
,,,
,,,
,,,
,,,
,,,
,,,
20250410,10:48:30,-45.1,
20250410,10:48:30,-45.1,
20250410,10:48:31,-45.1,
20250410,10:48:31,-45,
20250410,10:48:31,-45,
20250410,10:48:32,-44.9,
20250410,10:48:32,-44.8,
20250410,10:48:32,-44.7,
20250410,10:48:32,-44.6,
20250410,10:48:33,-44.4,
20250410,10:48:33,-44.4,
20250410,10:48:33,-44.4,
20250410,10:48:33,-44.4,
20250410,10:48:34,-44.3,
20250410,10:48:34,-43.4,
20250410,10:48:34,-43.5,
20250410,10:48:35,-44.3,
20250410,10:48:35,-44.2,
20250410,10:48:35,-44.4,
20250410,10:48:35,-44.3,
20250410,10:48:36,-45.2,
20250410,10:48:36,-45.2,
20250410,10:48:36,-45.1,
20250410,10:48:37,-45.3,
20250410,10:48:37,-46.7,
20250410,10:48:37,-46.7,
20250410,10:48:37,-45.8,
20250410,10:48:38,-45.1,
20250410,10:48:38,-44.6,
20250410,10:48:38,-44.4,
20250410,10:48:38,-44.4,
20250410,10:48:39,-44.5,
20250410,10:48:39,-44.6,
20250410,10:48:39,-44.5,
20250410,10:48:40,-44.5,
20250410,10:48:40,-44.3,
20250410,10:48:40,-44.3,
20250410,10:48:40,-44.3,
20250410,10:48:41,-44.3,
20250410,10:48:41,-44.3,
20250410,10:48:41,-44.6,
20250410,10:48:41,-45.2,
20250410,10:48:42,-46,
20250410,10:48:42,-46.6,
20250410,10:48:42,-47,
20250410,10:48:43,-47.2,
20250410,10:48:43,-47.2,
20250410,10:48:43,-47.2,
20250410,10:48:43,-47.1,
20250410,10:48:44,-47,
20250410,10:48:44,-46.9,
20250410,10:48:44,-46.7,
20250410,10:48:45,-46.5,
20250410,10:48:45,-46.4,
20250410,10:48:45,-46.3,
20250410,10:48:45,-46.1,
20250410,10:48:46,-46,
20250410,10:48:46,-46,
20250410,10:48:46,-45.9,
20250410,10:48:46,-46,
20250410,10:48:47,-46,
20250410,10:48:47,-46.1,
20250410,10:48:47,-46.2,
20250410,10:48:48,-46.2,
20250410,10:48:48,-46.2,
20250410,10:48:48,-46.6,
20250410,10:48:48,-46.9,
20250410,10:48:49,-47.7,
20250410,10:48:49,-48.2,
20250410,10:48:49,-48.4,
20250410,10:48:50,-48.5,
20250410,10:48:50,-48.5,
20250410,10:48:50,-48.5,
20250410,10:48:50,-48.6,
20250410,10:48:51,-48.3,
20250410,10:48:51,-47.9,
20250410,10:48:51,-47.5,
20250410,10:48:51,-47.2,
