静息,正,中,负,
16:35:46,16:37:39,16:38:44,16:41:42,
,,,,
CTP208 ,D4:F5:13:0B:7B:1B,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
20250414,16:31:25,-9.6,,
20250414,16:31:26,-9.5,,
20250414,16:31:26,-9.6,,
20250414,16:31:26,-9.5,,
20250414,16:31:26,-9.5,,
20250414,16:31:27,-9.6,,
20250414,16:31:27,-9.4,,
20250414,16:31:27,-9.4,,
20250414,16:31:27,-9.5,,
20250414,16:31:28,-9.4,,
20250414,16:31:28,-9.4,,
20250414,16:31:28,-9.4,,
20250414,16:31:29,-9.3,,
20250414,16:31:29,-9.4,,
20250414,16:31:29,-10.5,,
20250414,16:31:29,-9.7,,
20250414,16:31:30,-9.3,,
20250414,16:31:30,-9.1,,
20250414,16:31:30,-9.3,,
20250414,16:31:30,-9.3,,
20250414,16:31:31,-9.5,,
20250414,16:31:31,-9.6,,
20250414,16:31:31,-9.8,,
20250414,16:31:32,-10.8,,
20250414,16:31:32,-11.3,,
20250414,16:31:32,-12.1,,
20250414,16:31:32,-13.4,,
20250414,16:31:33,-14.8,,
20250414,16:31:33,-15.8,,
20250414,16:31:33,-16.2,,
20250414,16:31:34,-16.6,,
20250414,16:31:34,-16.5,,
20250414,16:31:34,-16.3,,
20250414,16:31:34,-16.2,,
20250414,16:31:35,-16,,
20250414,16:31:35,-15.8,,
20250414,16:31:35,-15.5,,
20250414,16:31:35,-15.4,,
20250414,16:31:36,-15.5,,
20250414,16:31:36,-15.9,,
20250414,16:31:36,-17,,
20250414,16:31:37,-18.2,,
20250414,16:31:37,-19.5,,
20250414,16:31:37,-20.1,,
20250414,16:31:37,-20.5,,
20250414,16:31:38,-20.5,,
20250414,16:31:38,-20.5,,
20250414,16:31:38,-20.5,,
20250414,16:31:38,-20.3,,
20250414,16:31:39,-20.4,,
20250414,16:31:39,-20.5,,
20250414,16:31:39,-20.4,,
20250414,16:31:40,-20.3,,
20250414,16:31:40,-19.8,,
20250414,16:31:40,-19.8,,
20250414,16:31:40,-19.9,,
20250414,16:31:41,-20.5,,
20250414,16:31:41,-22,,
20250414,16:31:41,-23.7,,
20250414,16:31:42,-24.8,,
20250414,16:31:42,-25.2,,
20250414,16:31:42,-25.1,,
20250414,16:31:42,-24.3,,
20250414,16:31:43,-23.1,,
20250414,16:31:43,-22,,
20250414,16:31:43,-21,,
20250414,16:31:43,-20.8,,
20250414,16:31:44,-20.7,,
20250414,16:31:44,-20.7,,
20250414,16:31:44,-21.5,,
20250414,16:31:45,-22.8,,
20250414,16:31:45,-23.7,,
20250414,16:31:45,-23.8,,
20250414,16:31:45,-23.3,,
20250414,16:31:46,-23,,
20250414,16:31:46,-22.8,,
20250414,16:31:46,-22.7,,
20250414,16:31:47,-22.9,,
20250414,16:31:47,-23.2,,
20250414,16:31:47,-23.7,,
20250414,16:31:47,-23.9,,
20250414,16:31:48,-24,,
20250414,16:31:48,-23.9,,
20250414,16:31:48,-23.9,,
20250414,16:31:48,-23.9,,
20250414,16:31:49,-23.9,,
20250414,16:31:49,-24,,
20250414,16:31:49,-24.1,,
20250414,16:31:50,-24.1,,
20250414,16:31:50,-24.3,,
20250414,16:31:50,-24.3,,
20250414,16:31:50,-24.4,,
20250414,16:31:51,-24.3,,
20250414,16:31:51,-24.2,,
20250414,16:31:51,-24.1,,
20250414,16:31:51,-23.9,,
20250414,16:31:52,-23.3,,
20250414,16:31:52,-22.8,,
20250414,16:31:52,-22.4,,
20250414,16:31:53,-22.2,,
20250414,16:31:53,-21.9,,
20250414,16:31:53,-21.9,,
20250414,16:31:53,-22.6,,
20250414,16:31:54,-24.4,,
20250414,16:31:54,-25.5,,
20250414,16:31:54,-24.8,,
20250414,16:31:55,-24,,
20250414,16:31:55,-23.4,,
20250414,16:31:55,-23.1,,
20250414,16:31:55,-23.2,,
20250414,16:31:56,-23.5,,
20250414,16:31:56,-23.9,,
20250414,16:31:56,-24.2,,
20250414,16:31:56,-25,,
20250414,16:31:57,-25.3,,
20250414,16:31:57,-25.5,,
20250414,16:31:57,-24.9,,
20250414,16:31:58,-24.1,,
20250414,16:31:58,-23.2,,
20250414,16:31:58,-22.3,,
20250414,16:31:58,-22.2,,
20250414,16:31:59,-23.2,,
20250414,16:31:59,-22.6,,
20250414,16:31:59,-18.8,,
20250414,16:32:00,-14.4,,
20250414,16:32:00,-11.7,,
20250414,16:32:00,-10.3,,
20250414,16:32:00,-9.7,,
20250414,16:32:01,-9.5,,
20250414,16:32:01,-8,,
20250414,16:32:01,-6.2,,
20250414,16:32:01,-4.9,,
20250414,16:32:02,-4.3,,
20250414,16:32:02,-4.1,,
20250414,16:32:02,-3.4,,
20250414,16:32:03,-3.3,,
20250414,16:32:03,-3.8,,
20250414,16:32:03,-4.9,,
20250414,16:32:03,-6,,
20250414,16:32:04,-6.8,,
20250414,16:32:04,-7.5,,
20250414,16:32:04,-8,,
20250414,16:32:04,-8.9,,
20250414,16:32:05,-9.4,,
20250414,16:32:05,-9.5,,
20250414,16:32:05,-10.4,,
20250414,16:32:06,-10.9,,
20250414,16:32:06,-11.1,,
20250414,16:32:06,-11.7,,
20250414,16:32:06,-12,,
20250414,16:32:07,-12.4,,
20250414,16:32:07,-12.4,,
20250414,16:32:07,-12.7,,
20250414,16:32:08,-12.8,,
20250414,16:32:08,-13,,
20250414,16:32:08,-13.1,,
20250414,16:32:08,-13.1,,
20250414,16:32:09,-13.1,,
20250414,16:32:09,-13.2,,
20250414,16:32:09,-13.4,,
20250414,16:32:09,-13.3,,
20250414,16:32:10,-13.4,,
20250414,16:32:10,-13.4,,
20250414,16:32:10,-13.6,,
20250414,16:32:11,-13.3,,
20250414,16:32:11,-13.4,,
20250414,16:32:11,-14,,
20250414,16:32:11,-14.6,,
20250414,16:32:12,-13.5,,
20250414,16:32:12,-13.4,,
20250414,16:32:12,-13.7,,
20250414,16:32:13,-13.4,,
20250414,16:32:13,-13.2,,
20250414,16:32:13,-13.2,,
20250414,16:32:13,-13.1,,
20250414,16:32:14,-13,,
20250414,16:32:14,-13,,
20250414,16:32:14,-12.9,,
20250414,16:32:14,-12.8,,
20250414,16:32:15,-13,,
20250414,16:32:15,-13.1,,
20250414,16:32:15,-13.1,,
20250414,16:32:16,-13.1,,
20250414,16:32:16,-13.6,,
20250414,16:32:16,-13.7,,
20250414,16:32:16,-13.8,,
20250414,16:32:17,-13.8,,
20250414,16:32:17,-13.7,,
20250414,16:32:17,-13.7,,
20250414,16:32:17,-16,,
20250414,16:32:18,-19.5,,
20250414,16:32:18,-20.5,,
