静息,正,中,负
08:34:12,08:35:50,08:37:16,08:39:21
,,,
CTP208 ,D4:F5:13:0B:7B:1B,,
,,,
,,,
,,,
,,,
,,,
,,,
20250428,08:29:59,-6.1,
20250428,08:29:59,-6.6,
20250428,08:29:59,-6.8,
20250428,08:29:59,-7.2,
20250428,08:29:59,-7.5,
20250428,08:30:00,-7.7,
20250428,08:30:00,-8,
20250428,08:30:00,-9,
20250428,08:30:00,-9.7,
20250428,08:30:01,-9.8,
20250428,08:30:01,-9.9,
20250428,08:30:01,-10.2,
20250428,08:30:02,-10.3,
20250428,08:30:02,-11.5,
20250428,08:30:02,-8.8,
20250428,08:30:02,-17.9,
20250428,08:30:03,-24,
20250428,08:30:03,-19.7,
20250428,08:30:03,-16.2,
20250428,08:30:03,-12.5,
20250428,08:30:04,-14,
20250428,08:30:04,-14.5,
20250428,08:30:04,-14.5,
20250428,08:30:05,-15,
20250428,08:30:05,-16.2,
20250428,08:30:05,-17.5,
20250428,08:30:05,-18.8,
20250428,08:30:06,-19.7,
20250428,08:30:06,-20.5,
20250428,08:30:06,-20.4,
20250428,08:30:07,-19.7,
20250428,08:30:07,-19,
20250428,08:30:07,-18.4,
20250428,08:30:07,-17.8,
20250428,08:30:08,-17.4,
20250428,08:30:08,-17.3,
20250428,08:30:08,-17.1,
20250428,08:30:08,-16.3,
20250428,08:30:09,-14.3,
20250428,08:30:09,-11,
20250428,08:30:09,-7.4,
20250428,08:30:10,-4.1,
20250428,08:30:10,-1.3,
20250428,08:30:10,1.2,
20250428,08:30:10,2.9,
20250428,08:30:11,3.9,
20250428,08:30:11,4.7,
20250428,08:30:11,5.1,
20250428,08:30:11,5.3,
20250428,08:30:12,4.9,
20250428,08:30:12,4.1,
20250428,08:30:12,3.3,
20250428,08:30:13,2.6,
20250428,08:30:13,1.9,
20250428,08:30:13,1.5,
20250428,08:30:13,1.2,
20250428,08:30:14,0.8,
20250428,08:30:14,0,
20250428,08:30:14,-0.7,
20250428,08:30:15,-1.7,
20250428,08:30:15,-2.4,
20250428,08:30:15,-3,
20250428,08:30:15,-3,
20250428,08:30:16,-2.4,
20250428,08:30:16,-1,
20250428,08:30:16,0.6,
20250428,08:30:16,2,
20250428,08:30:17,3.4,
20250428,08:30:17,4.9,
20250428,08:30:17,5.4,
20250428,08:30:18,5.6,
20250428,08:30:18,5.6,
20250428,08:30:18,5.5,
20250428,08:30:18,5.3,
20250428,08:30:19,5,
20250428,08:30:19,4.5,
20250428,08:30:19,3.9,
20250428,08:30:19,3.3,
20250428,08:30:20,2.5,
20250428,08:30:20,1.9,
20250428,08:30:20,1.3,
20250428,08:30:21,0.6,
20250428,08:30:21,0,
20250428,08:30:21,-0.6,
20250428,08:30:21,-1.1,
20250428,08:30:22,-1.7,
20250428,08:30:22,-2.2,
20250428,08:30:22,-2.7,
20250428,08:30:22,-3.1,
20250428,08:30:23,-3.4,
20250428,08:30:23,-3.8,
20250428,08:30:23,-4.3,
