静息,正,中,负
14:29:49,14:31:22,14:32:35,14:35:07
,,,
CTP208 ,D4:F5:13:0B:7B:1B,,
,,,
,,,
,,,
,,,
,,,
,,,
20250523,14:20:41,-45.3,
20250523,14:20:41,-45.4,
20250523,14:20:41,-45.5,
20250523,14:20:41,-45.6,
20250523,14:20:42,-45.7,
20250523,14:20:42,-45.8,
20250523,14:20:42,-45.8,
20250523,14:20:42,-45.9,
20250523,14:20:43,-45.9,
20250523,14:20:43,-46,
20250523,14:20:43,-46,
20250523,14:20:44,-45.9,
20250523,14:20:44,-45.9,
20250523,14:20:44,-45.9,
20250523,14:20:44,-45.9,
20250523,14:20:45,-45.8,
20250523,14:20:45,-45.9,
20250523,14:20:45,-46,
20250523,14:20:45,-45.9,
20250523,14:20:46,-45.8,
20250523,14:20:46,-45.7,
20250523,14:20:46,-45.6,
20250523,14:20:47,-45.6,
20250523,14:20:47,-45.5,
20250523,14:20:47,-45.4,
20250523,14:20:47,-45.3,
20250523,14:20:48,-45.3,
20250523,14:20:48,-45.3,
20250523,14:20:48,-45.2,
20250523,14:20:49,-45.1,
20250523,14:20:49,-45,
20250523,14:20:49,-45,
20250523,14:20:49,-45,
20250523,14:20:50,-44.9,
20250523,14:20:50,-44.8,
20250523,14:20:50,-44.8,
20250523,14:20:50,-44.8,
20250523,14:20:51,-44.7,
20250523,14:20:51,-44.6,
20250523,14:20:51,-44.6,
20250523,14:20:52,-44.6,
20250523,14:20:52,-44.5,
20250523,14:20:52,-44.4,
20250523,14:20:52,-44.4,
20250523,14:20:53,-44.4,
20250523,14:20:53,-44.3,
20250523,14:20:53,-44.3,
20250523,14:20:54,-44.2,
20250523,14:20:54,-44.1,
20250523,14:20:54,-44,
20250523,14:20:54,-44,
20250523,14:20:55,-44,
20250523,14:20:55,-43.9,
20250523,14:20:55,-43.9,
20250523,14:20:55,-43.8,
20250523,14:20:56,-43.9,
20250523,14:20:56,-44.4,
20250523,14:20:56,-45.1,
20250523,14:20:57,-45.5,
20250523,14:20:57,-45.3,
20250523,14:20:57,-44.4,
20250523,14:20:57,-43,
20250523,14:20:58,-41.4,
20250523,14:20:58,-39.8,
20250523,14:20:58,-38.6,
20250523,14:20:58,-37.4,
20250523,14:20:59,-36.5,
20250523,14:20:59,-35.7,
20250523,14:20:59,-35.1,
20250523,14:21:00,-35,
20250523,14:21:00,-35,
20250523,14:21:00,-35.3,
20250523,14:21:00,-35.5,
20250523,14:21:01,-36,
20250523,14:21:01,-36.6,
20250523,14:21:01,-37,
20250523,14:21:02,-37.6,
20250523,14:21:02,-38.1,
20250523,14:21:02,-38.5,
20250523,14:21:02,-39.1,
20250523,14:21:03,-39.5,
20250523,14:21:03,-40.1,
20250523,14:21:03,-40.5,
20250523,14:21:03,-41,
20250523,14:21:04,-41.4,
20250523,14:21:04,-41.9,
20250523,14:21:04,-42.1,
20250523,14:21:05,-42.4,
20250523,14:21:05,-42.6,
20250523,14:21:05,-42.9,
20250523,14:21:05,-43.3,
